song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
0Y7di9ZCmB6Elad5WISaPc,Dedicate,62,0.879,0.662,0.723,0.033,0.309,Lil Wayne,True
1E1uGhNdBe6Dddbgs2KqtZ,Jumpsuit,73,0.62,0.61,0.235,0.00849,0.0373,Twenty One Pilots,True
5HeKOKc4phmLn8e4I7EkzD,My Blood,73,0.749,0.723,0.674,0.0563,0.0432,Twenty One Pilots,True
6qNALlmZa1ESnCxJmXE1K9,The Way I Am,70,0.755,0.769,0.642,0.314,0.186,Charlie Puth,True
5cGpjfgAvidLy6znwkCxkP,Can't Be Broken,62,0.578,0.577,0.154,0.121,0.202,Lil Wayne,True
4z2XPrpHz1raJibarWFY7Z,Maybe It's Time,64,0.699,0.282,0.359,0.798,0.0374,Bradley Cooper,False
5SehvGGC53A7SZKCLXQcyt,Nico And The Niners,72,0.728,0.602,0.328,0.0699,0.185,Twenty One Pilots,True
2DnH4XlEkghUdE8ymdVom5,Open Letter,56,0.769,0.55,0.36,0.0283,0.359,Lil Wayne,True
0ubdf6zWT1It2saK41SkO0,Problems,54,0.807,0.571,0.0993,0.0169,0.312,Lil Wayne,True
5s6pKnF3ZPtuqvEx1i1V7U,Hittas,54,0.788,0.765,0.667,0.276,0.439,Lil Wayne,True
7EgI0dCaQuHFe3OTj5EpWI,Open Safe,56,0.929,0.598,0.501,0.00705,0.156,Lil Wayne,True
1Dk3CfJEtqvj7Xg2AWwfEn,Took His Time,56,0.752,0.703,0.641,0.144,0.213,Lil Wayne,True
6y4pOReFqH2wzo4CV91cZC,Mess,57,0.641,0.579,0.421,0.479,0.0895,Lil Wayne,True
3BUWNzPWz2mDbptZmGEXpB,Let It All Work Out,61,0.552,0.562,0.439,0.0216,0.164,Lil Wayne,True
68lOQPb5tX8U2cQRuas0L2,Used 2,57,0.678,0.666,0.523,0.337,0.487,Lil Wayne,True
63TyoT9Ee03rQxv8xmdJ2l,RAP DEVIL,67,0.895,0.839,0.756,0.217,0.227,Machine Gun Kelly,False
1kaxyXcAi5ZHF3Q94QXsHK,Demon,55,0.754,0.615,0.345,0.273,0.171,Lil Wayne,True
4E3qImtJzRqLt8ZZyLceOE,Perfect Strangers,55,0.746,0.644,0.542,0.4,0.232,Lil Wayne,True
7gY3cyGcB2wnk2xDXiA0pe,Head Above Water,72,0.578,0.694,0.268,0.0112,0.0706,Avril Lavigne,False
0tgVpDi06FyKpA1z0VMD4v,Perfect,85,0.599,0.448,0.168,0.163,0.0232,Ed Sheeran,True
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,80,0.586,0.909,0.757,0.0891,0.0705,Drake,True
6DCZcSspjsKoFjzjrWoCdn,God's Plan,83,0.754,0.449,0.357,0.0332,0.109,Drake,True
6Poyf51k7W3NKnsGwAI90B,Barbie Dreams,66,0.855,0.787,0.702,0.313,0.334,Nicki Minaj,True
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,80,0.671,0.529,0.203,0.0769,0.307,Juice WRLD,True
58QhkbaAkLFnn7JwAnAato,Fall,72,0.83,0.546,0.535,0.227,0.295,Eminem,True
4Vxu50qVrQcycjRyJQaZLC,Life Changes,68,0.687,0.842,0.778,0.105,0.058,Thomas Rhett,True
